\xEF\xBB\xBF英文單字,中文解釋
a lot of,許多
ability,能力、才幹
abroad,國外、海外
absent,缺席的、心不在焉的
accept,接受、認可
accident,意外的事、事故
achieve,完成、達到、實現
across,橫過、穿過、在對面
act,行動、做、行為、動作、法令
action,動作、行動
active,活躍的、積極的
activity,活動
actor,男演員
actress,女演員
add,添加、增添
addition,加、加法、增加
address,地址、住址、演講
adjective,形容詞的
admire,欽佩、讚賞
admit,承認、准許進入
adopt,收養、採取
adult,成人
advance,前進、向前移動、進展
advantage,優勢、有利條件、利益
adverb,副詞
advertisement,廣告
advice,勸告、意見
advise,勸告、建議、通知
affair,事情、事件
affect,影響
against,違反、逆、反對、倚在
ahead,在前、向前、提前
aid,幫助、援助
AIDS,愛滋病
aim,把…瞄準、旨在
air conditioner,空調機
aircraft,飛行器、航行器
airline,航線
airmail,航空信
alarm,警報
alarm clock,鬧鐘
album,相簿
alike,同樣的、相像的
alive,活著的、存在的、活躍的
alley,弄、小巷、胡同
allow,允許、准許
alone,單獨的、孤獨的、獨自地
aloud,出聲地、大聲地
alphabet,字母、字母表
altogether,總共、完全、總之
ambulance,救護車
among,在…之中、在…之間
amount,合計
ancient,已往的、古代的、遠古的
angel,天使、完善可愛的人
anger,憤怒、使發怒
ankle,踝
ant,螞蟻
anyway,無論如何
anywhere,任何地方、無論哪裡
apologize,道歉、認錯
appearance,出現、露面、外貌、外觀
apply,申請、應用
appreciate,瞭解、欣賞、感激
area,地區、地域、範圍、面積
argue,爭論、爭辯、論證、主張
armchair,扶手椅
army,軍隊、軍
arrange,安排
arrest,逮捕、拘留
article,文章、論文、條款、物件、冠詞
artist,藝術家、美術家
as if,好像
as soon as,儘快
as well as,也、不僅而且
Asia,亞洲
Asian,亞洲人的、亞洲人
asleep,睡覺的
assistant,助手、助理、助教
assume,假定、設想
attack,攻擊、進攻、襲擊
attend,出席
attention,注意、留心
audience,聽眾、觀眾、接見
Australia,澳大利亞
Australian,澳大利亞人的、澳大利亞人
auxiliary,輔助的、協助的
available,可利用的、可獲取得的
avoid,避免
awake,喚醒、使覺醒
aware,意識到
baby sitter,褓母
backward,向後地、相反地
badminton,羽毛球
bake,烘、烤
balcony,陽臺
balloon,氣球
banker,銀行家
bar,條、棒、橫木、酒吧間、障礙物
barbecue,吃烤燒肉的野餐
barber,理髮師
bark,狗吠、叫、大聲叫喊
base,基地、建立在基礎上
basement,地下室
basic,基本的、基礎的
basis,基礎、根據
bat,蝙蝠
bean,豆
beard,鬍鬚
beat,打、擊、打敗、跳動
beautifully,美麗地
beer,啤酒
beginner,初學者
beginning,開始、起源
behave,行為、表現、舉止
being,存在、生存
belief,信任、信心、信仰
bench,長凳、長椅
besides,在旁邊、在附近
best,最好的、最好地
better,較好的、更好的、好轉的
beyond,在那邊、超出、超過
bicycle riding,騎腳踏車
bill,帳單、鈔票、喙
biology,生物學
bit,一點、一些
bitter,痛苦的、有苦味的、寒冷入骨的
blame,責備、責怪
blank,空的、空白的
blanket,毯子
blood,血液、血統
blouse,女式襯衫
board,木板、董事會、上車船
boil,沸騰、使沸騰
bomb,炸彈
bone,骨、骨骼
bookcase,書櫥
both xxx and,兩個都、既…又…
bother,打擾、麻煩
bow,弓、蝴蝶結、鞠躬
bowling,保齡球
boyfriend,男朋友
brain,腦袋、智力
branch,樹枝、分支、分部、分公司
brave,勇敢的
brick,磚、積木
brief,摘要、簡短的、短暫的
Britain,英國
British,英國人的、英國人
broad,寬的、廣闊的、廣泛的
broadcast,廣播、播音
brunch,早午餐
bucket,水桶、桶
buffet,自助餐廳、打擊
bug,蟲、軟體錯誤
building,建築物、大樓
bun,小圓麵包
bundle,包、捆、束
burger,漢堡
burst,爆裂、爆炸
bus stop,公共汽車站
butterfly,蝴蝶
button,鈕扣、按扭
cabbage,甘藍菜、捲心菜
cabinet,櫥櫃、內閣
cable,粗索、電纜
cafeteria,自助餐廳
cage,籠
calendar,月曆、行事曆
calm,平靜的、鎮靜的
camping,露營
campus,校園、園區
Canada,加拿大
Canadian,加拿大人
cancel,取消
cancer,癌
candle,蠟燭
captain,上尉、隊長、船長、機長
career,事業、生涯
carefully,小心地
careless,不注意的、粗心大意的
carpet,地毯
carrot,胡蘿蔔
cartoon,卡通畫、動畫片
cash,現金
cassette,卡式盒
castle,城堡
cause,原因、起因、使產生
CD,光碟、雷射唱片
CD player,雷射唱片播放器
ceiling,天花板
cell,單元、細胞、電池
centimeter,釐米、公分
central,中央的、中心的
century,世紀、百年
cereal,穀物、穀類食品
certain,確定的、肯定的
certainly,的確、一定、當然可以
chairman,主席、議長、董事長
channel,海峽、水渠、通訊頻道
chapter,章
character,性格、特性、品格、人物
charge,索價、控告、充電、費用
chart,海圖、圖表
chase,追趕、驅逐、追求
cheerleader,啦啦隊隊長
chemical,化學的
chess,西洋棋
chief,首領、酋長、首要的
childhood,孩童時期
childish,孩子氣的、幼稚的
childlike,孩子似的、天真無邪的
children,一個以上的孩童
chin,下巴、下頷
Chinese New Year,農曆新年
choice,選擇、抉擇
choose,選擇、挑選
